,CODE_COMMUNE,LIBL_COMMUNE,NOM_EPCI,NOM_CANTON,TOTAL,TOTAL_FEM,TOTAL_HOM,TOTAL_M75A,TOTAL_7584A,TOTAL_P85A,TOTAL_DOM,TOTAL_ETA,ANNEE_REF,CODE_CANTON
1,63470,VOLVIC,Riom Limagne et Volcans,CHATELGUYON,61,44,17,0,17,39,35,26,2020,6309
2,63012,ARTONNE,Plaine Limagne,AIGUEPERSE,14,9,0,0,0,11,8,6,2020,6301
3,63235,MONTCEL,Combrailles Sioule et Morge,SAINT-GEORGES-DE-MONS,0,0,0,0,0,0,0,0,2020,6327
4,63460,VILLOSANGES,Chavanon Combrailles et Volcans,SAINT-OURS,11,6,0,0,0,6,0,6,2020,6328
5,63060,BUSSIERES,Pays de Saint-Eloy,SAINT-ELOY-LES-MINES,0,0,0,0,0,0,0,0,2020,6326
6,63291,PUY-GUILLAUME,Thiers Dore et Montagne,MARINGUES,76,57,19,13,17,46,49,27,2020,6320
7,63088,LA CHAPELLE-SUR-USSON,Agglo Pays d'Issoire,BRASSAC-LES-MINES,0,0,0,0,0,0,0,0,2020,6306
8,63185,LAMONTGIE,Agglo Pays d'Issoire,BRASSAC-LES-MINES,10,7,0,0,6,0,0,0,2020,6306
9,63441,VALCIVIERES,Ambert Livradois Forez,AMBERT,0,0,0,0,0,0,0,0,2020,6302
10,63314,SAINT-AMANT-ROCHE-SAVINE,Ambert Livradois Forez,LES MONTS-DU-LIVRADOIS,21,19,0,0,0,15,10,11,2020,6322
11,63174,GRANDVAL,Ambert Livradois Forez,LES MONTS-DU-LIVRADOIS,0,0,0,0,0,0,0,0,2020,6322
12,63243,MOUREUILLE,Pays de Saint-Eloy,SAINT-ELOY-LES-MINES,8,6,0,0,0,6,0,0,2020,6326
13,63267,PALLADUC,Thiers Dore et Montagne,THIERS,14,9,0,0,6,7,7,7,2020,6330
14,63287,LES PRADEAUX,Agglo Pays d'Issoire,BRASSAC-LES-MINES,0,0,0,0,0,0,0,0,2020,6306
15,63341,SAINT-FERREOL-DES-COTES,Ambert Livradois Forez,AMBERT,12,9,0,0,0,7,0,10,2020,6302
16,63422,SOLIGNAT,Agglo Pays d'Issoire,LE SANCY,20,14,6,0,0,17,12,8,2020,6329
17,63459,VILLENEUVE-LES-CERFS,Plaine Limagne,MARINGUES,6,0,0,0,0,0,0,0,2020,6320
18,63036,BERGONNE,Agglo Pays d'Issoire,BRASSAC-LES-MINES,0,0,0,0,0,0,0,0,2020,6306
19,63075,CHAMALIERES,Clermont Auvergne Métropole,CHAMALIERES,423,338,85,36,66,321,172,251,2020,6308
20,63098,CHASTREIX,Massif du Sancy,LE SANCY,9,6,0,0,0,6,0,0,2020,6329
21,63134,DAUZAT-SUR-VODABLE,Agglo Pays d'Issoire,BRASSAC-LES-MINES,0,0,0,0,0,0,0,0,2020,6306
22,63149,ENTRAIGUES,Riom Limagne et Volcans,AIGUEPERSE,9,6,0,0,0,0,0,0,2020,6301
23,63253,NOALHAT,Thiers Dore et Montagne,MARINGUES,0,0,0,0,0,0,0,0,2020,6320
